cve_id,vendor,product_name,version
CVE-2020-0002,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0003,google,android,8.0
CVE-2020-0005,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0006,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0007,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0008,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0009,google,android,-
CVE-2020-0010,google,android,-
CVE-2020-0011,google,android,-
CVE-2020-0012,google,android,-
CVE-2020-0014,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0016,google,android,-
CVE-2020-0018,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0019,google,android,-
CVE-2020-0021,google,android,10.0
CVE-2020-0022,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0024,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0026,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0027,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0032,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0033,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0034,debian,debian_linux,9.0
CVE-2020-0034,google,android,"8.0,8.1"
CVE-2020-0037,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0038,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0039,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0041,google,android,-
CVE-2020-0042,google,android,-
CVE-2020-0043,google,android,-
CVE-2020-0044,google,android,-
CVE-2020-0045,google,android,10.0
CVE-2020-0046,google,android,10.0
CVE-2020-0048,google,android,10.0
CVE-2020-0049,google,android,10.0
CVE-2020-0050,google,android,10.0
CVE-2020-0051,google,android,10.0
CVE-2020-0052,google,android,10.0
CVE-2020-0053,google,android,10.0
CVE-2020-0055,google,android,10.0
CVE-2020-0056,google,android,10.0
CVE-2020-0057,google,android,10.0
CVE-2020-0058,google,android,10.0
CVE-2020-0059,google,android,10.0
CVE-2020-0060,google,android,10.0
CVE-2020-0066,google,android,-
CVE-2020-0067,google,android,-
CVE-2020-0068,google,android,-
CVE-2020-0069,google,android,-
CVE-2020-0070,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0071,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0072,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0073,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0075,google,android,-
CVE-2020-0076,google,android,-
CVE-2020-0077,google,android,-
CVE-2020-0078,google,android,"9.0,10.0"
CVE-2020-0079,google,android,"9.0,10.0"
CVE-2020-0081,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0082,google,android,10.0
CVE-2020-0086,google,android,10.0
CVE-2020-0093,debian,debian_linux,8.0
CVE-2020-0093,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0094,google,android,"9.0,10.0"
CVE-2020-0099,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0100,google,android,"8.0,8.1"
CVE-2020-0101,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0102,google,android,"8.0,8.1,9.0,10.0"
CVE-2020-0103,google,android,"9.0,10.0"
CVE-2020-0110,google,android,-
CVE-2020-0110,intel,core_i3-1000g1_firmware,-
CVE-2020-0110,intel,core_i3-1000g4_firmware,-
CVE-2020-0110,intel,core_i3-1005g1_firmware,-
CVE-2020-0110,intel,core_i3-10100_firmware,-
CVE-2020-0110,intel,core_i3-10100e_firmware,-
CVE-2020-0110,intel,core_i3-10100f_firmware,-
CVE-2020-0110,intel,core_i3-10100t_firmware,-
